CEDULA DE PRINCIPALES CULTIVOS, SEGÈN PROVINCIA  2023;;;;;;;;;;;;;;;;
REGION :;;;;;;;TACNA;;;;;;;;;
PROVINCIA :;;;;;;;CANDARAVE;;;;;;;;;
CULTIVO;;;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";;"PRECIO EN
CHACRA (S/.
x kg)";;;
;;;;;TOTAL;;COSECHADA;;CRECIMIENTO;;;;;;;
TOTAL PROVINCIAL:   ;;;;109,703;;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;;;;;;;;;;;;;;;
01;AJO;;;124;11;;11;;-;;11,273;;4.00;;;
02;HABA GRANO VERDE;;;173;26;;26;;-;;6,654;;2.63;;;
03;MAIZ AMILACEO;;;404;141;;141;;-;;2,865;;6.69;;;
04;MAIZ CHOCLO;;;120;19;;19;;-;;6,316;;3.34;;;
05;PAPA;;;4,374;206;;206;;-;;21,233;;2.80;;;
06;ZAPALLO;;;1,121;60;;60;;-;;18,683;;2.30;;;
CULTIVO SEMIPERMANENTE;;;;;;;;;;;;;;;;
07;OREGANO;;;3,448;807;;807;;-;;4,273;;5.72;;;
CULTIVO PERMANENTE;;;;;;;;;;;;;;;;
08;ALFALFA;;;99,939;6,232;;6,232;;-;;16,036;;0.51;;;
"FUENTE: A. Agrarias                                                                                                             (*)INFORMACION PRELIMINAR
ELABORACION:DEA-Tacna/Est. Agr°cola";;;;;;;;;;;;;;;;
