REGION :;;;;;;;Tacna;;;;
PROVINCIA :;;;;;;;JORGE BASADRE;;;;
;;;;;;;;;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;RENDIMIENTO;PRECIO EN CHACRA;
;;;TOTAL;;COSECHADA;CRECIMIENTO;;;(kg x ha);(S/ x Kg);
TOTAL PROVINCIAL:;;122,218;3,852;;3,753;99;;;;;
CULTIVOS TRANSITORIOS;;;;;;;;;;;
01;AJI;5,004;425;;425;-;;;11,774;3.78;
02;AJI PANCA;1,188;99;;99;-;;;12,000;2.67;
03;AJO;120;12;;12;-;;;10,000;3.67;
04;CEBOLLA ROJA;3,914;103;;103;-;;;38,000;0.99;
05;HABA GRANO VERDE;15;3;;3;-;;;5,000;1.50;
06;MAIZ AMILACEO;62;21;;21;-;;;2,952;3.98;
07;MAIZ CHALA;43,763;963;;963;-;;;45,444;0.45;
08;PAPA;208;12;;12;-;;;17,333;1.93;
09;SANDIA;180;7;;7;-;;;25,714;1.47;
10;ZAPALLO;6,988;159;;159;-;;;43,950;2.48;
CULTIVO SEMIPERMANENTE;;;-;;;;;;;;
11;OREGANO;1,133;318;;318;-;;;3,563;5.76;
CULTIVOS PERMANENTES;;;-;;;;;;;;
12;ALFALFA;58,809;1,555;;1,555;-;;;37,819;0.40;
13;CIROLERO;6;1;;1;-;;;6,000;6.00;
14;DAMASCO;10;2;;2;-;;;5,000;15.00;
15;GRANADO;108;29;;9;20;;;12,000;3.83;
16;HIGUERA;22;4;;4;-;;;5,500;2.00;
17;MANZANO;40;8;;8;-;;;5,000;2.50;
18;MELOCOTONERO;63;10;;10;-;;;6,300;4.00;
19;MEMBRILLO;20;4;;4;-;;;5,000;1.50;
20;PALTO;77;89;;11;78;;;7,000;5.00;
21;PERAL;40;7;;6;1;;;6,667;6.50;
22;VID;448;21;;21;-;;;21,333;4.00;
FUENTE: A. Agrarias;;;;;(*)INFORMACION PRELIMINAR;;;;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;;;;;
