CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;
REGION :;;;;TACNA;;;
PROVINCIA :;;;;TACNA;;;
DISTRITO :;;;;CALANA;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA (S/.
x kg)"
;;;TOTAL;COSECHADA;CRECIMIENTO;;
TOTAL DISTRITAL:;;7,847;428;425;3;;
CULTIVOSÿTRANSITORIOS;;5,774;296;296;-;;
01;ACELGA;39;2;2;-;19,500;2.05
02;AJI;21;2;2;-;10,500;3.00
03;APIO;496;22;22;-;22,545;1.47
04;ARVEJA GRANO VERDE;13;2;2;-;6,500;5.50
05;BETARRAGA;412;20;20;-;20,600;1.72
06;BROCOLI;505;26;26;-;19,423;2.06
07;CEBOLLA ROJA;73;2;2;-;36,500;0.80
08;COL O REPOLLO;553;27;27;-;20,481;1.95
09;COLIFLOR;372;20;20;-;18,600;2.08
10;ESPINACA;255;16;16;-;15,938;2.11
11;HABA GRANO VERDE;34;5;5;-;6,800;2.15
12;LECHUGA;818;33;33;-;24,788;1.83
13;MAIZ CHOCLO;302;26;26;-;11,615;3.67
14;NABO;138;17;17;-;8,118;2.04
15;PAPA;625;29;29;-;21,552;2.23
16;PORO;271;14;14;-;19,357;2.43
17;RABANO;86;7;7;-;12,286;1.59
18;TOMATE;602;20;20;-;30,100;2.23
19;ZAPALLO;159;6;6;-;26,500;3.20
CULTIVOÿSEMIPERMANENTE;;93;4;4;-;;
20;ROCOTO;93;4;4;-;23,250;4.74
CULTIVOSÿPERMANENTES;;1,980;128;125;3;;
21;ALFALFA;1,061;20;20;-;53,050;0.63
22;CIROLERO;13;2;2;-;6,500;6.20
23;DAMASCO;24;4;4;-;6,000;9.00
24;HIGUERA;5;1;1;-;5,000;2.00
25;MANZANO;44;4;4;-;11,000;2.15
26;MELOCOTONERO;68;7;7;-;9,714;9.00
27;MEMBRILLO;5;1;1;-;5,000;2.20
28;NARANJO;70;8;7;1;10,000;1.00
29;PALTO;85;14;12;2;7,083;5.16
30;PERAL;20;2;2;-;10,000;2.50
31;VID;585;65;65;-;9,000;4.89
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;
