CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;;;
REGION :;;;;TACNA;;;;;
PROVINCIA :;;;;TACNA;;;;;
DISTRITO :;;;;INCLAN;;;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA (S/.
x kg)";
;;;TOTAL;COSECHADA;CRECIMIENTO;;;;
TOTAL DISTRITAL:;;77,388;2,230;2,229;1;;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;
01;AJI;6,100;551;551;-;11,071;;3.12;
02;CEBOLLA ROJA;4,436;122;122;-;36,361;;1.49;
03;HABA GRANO VERDE;26;4;4;;6,500;;2.41;
04;MAIZ AMILACEO;21;7;7;-;3,000;;5.09;
05;MAIZ CHALA;15,301;389;389;-;39,334;;0.78;
06;MAIZ CHOCLO;21;2;2;-;10,500;;2.50;
07;PAPA;55;3;3;-;18,333;;1.30;
08;QUINUA;225;100;100;-;2,250;;5.50;
09;ZAPALLO;61;2;2;-;30,500;;2.50;
CULTIVOSÿPERMANENTES;;;;;;;;;
10;ALFALFA;49,938;810;810;-;61,652;;0.72;
11;GRANADO;8;2;1;1;8,000;;1.50;
12;HIGUERA;5;1;1;-;5,000;;3.00;
13;MELOCOTONERO;5;2;2;-;2,500;;3.00;
14;NARANJA;15;2;2;-;7,500;;0.85;
15;OLIVO;1,126;225;225;-;5,004;;1.60;
16;PERAL;4;1;1;-;4,000;;3.50;
17;VID;41;7;7;-;5,857;;3.00;
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;;;
