CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;;;;;;
REGION :;;;;;;;TACNA;;;;;
PROVINCIA :;;;;;;;TACNA;;;;;
DISTRITO :;;;;;;;SAMA;;;;;
;;;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;"RENDIMIENTO
(kg x ha)";;"PRECIO EN
CHACRA (S/.
x kg)"
;CULTIVO;;;;;;;;;;;
;;;;;TOTAL;;COSECHADA;CRECIMIENTO;;;;
TOTAL DISTRITAL:;;;;69,017;1,551;;1,457;94;;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;;;;
01;AJI;;;108;10;;10;-;;10,800;;3.25
02;CEBOLLA;;;862;23;;23;-;;37,478;;2.61
03;HABA GRANO VERDE;;;10;2;;2;-;;5,000;;2.30
04;MAIZ AMILACEO;;;6;2;;2;-;;3,000;;4.00
05;MAIZ CHALA;;;19,428;443;;443;-;;43,856;;0.79
06;MAIZ CHOCLO;;;40;5;;5;-;;8,000;;3.27
07;PAPA;;;18;1;;1;-;;18,000;;1.20
08;QUINUA;;;83;40;;40;-;;2,075;;5.50
09;SANDIA;;;162;4;;4;;;40,500;;1.30
11;ZAPALLO;;;1,419;33;;33;-;;43,000;;2.46
CULTIVOSÿPERMANENTES;;;;;;;;;;;;
12;ALFALFA;;;45,686;679;;679;-;;67,284;;0.72
13;GRANADO;;;24;4;;3;1;;8,000;;1.50
14;OLIVO;;;1,171;305;;212;93;;5,524;;1.63
FUENTE: A. Agrarias;;;;;;;(*)INFORMACION PRELIMINAR;;;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;;;;;;
