CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;
REGION :;;;;TACNA;;;
PROVINCIA :;;;;TACNA;;;
DISTRITO :;;;;TACNA;;;
;;;;;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA (S/.
x kg)"
;;;;;;;
;;;TOTAL;COSECHADA;CRECIMIENTO;;
TOTAL DISTRITAL:;;9,733;1,188;730;458;;
CULTIVOSÿTRANSITORIOS;;1,157;46;46;-;;
01;AJI;11;1;1;-;11,000;4.50
02;APIO;39;2;2;-;19,500;1.40
03;ARVEJA GRANO VERDE;6;1;1;-;6,000;6.50
04;BETARRAGA;73;4;4;-;18,250;1.82
05;CAMOTE;39;2;2;;19,500;1.65
06;CEBOLLA ROJA;37;1;1;-;37,000;0.90
07;COLIFLOR;17;1;1;-;17,000;2.20
08;FRIJOL VAINITA;15;2;2;-;7,500;3.00
09;HABA GRANO VERDE;14;2;2;-;7,000;1.80
10;LECHUGA;40;2;2;-;20,000;2.00
11;MAIZ CHALA;258;7;7;-;36,857;0.60
12;MAIZ CHOCLO;35;3;3;-;11,667;3.60
13;PEPINILLO;99;5;5;-;19,800;1.36
14;PIMIENTO;37;2;2;-;18,500;4.00
15;PORO;37;2;2;-;18,500;2.65
16;SANDIA;30;1;1;-;30,000;1.80
17;TOMATE;237;5;5;-;47,400;2.04
18;ZAPALLO;133;3;3;-;44,333;3.00
CULTIVOÿSEMIPERMANENTE;;36;1;1;-;;
19;ROCOTO;36;1;1;-;36,000;4.92
CULTIVOSÿPERMANENTES;;8,540;1,141;683;458;;
20;ALFALFA;1,113;13;13;-;85,615;0.62
21;CIROLERO;13;2;2;-;6,500;6.20
22;DAMASCO;11;2;2;-;5,500;9.00
23;HIGUERA;8;2;2;-;4,000;2.00
24;MANZANO;300;29;29;-;10,345;2.23
25;MELOCOTONERO;465;30;30;-;15,500;5.06
26;MEMBRILLO;12;2;2;-;6,000;2.30
27;NARANJO;180;16;11;5;16,364;1.00
28;OLIVO;840;140;140;-;6,000;2.19
29;PALTO;128;21;16;5;8,000;5.15
30;PERAL;620;30;30;-;20,667;2.58
31;TUNA (Cochinilla);-;448;-;448;-;-
32;VID;4,850;406;406;-;11,946;5.26
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;
