CEDULA DE PRINCIPALES CULTIVOS, SEGÈN PROVINCIA  2021;;;;;;;;;;
REGION :;;;;Tacna;;;;;;
PROVINCIA :;;;;CANDARAVE;;;;;;
;;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA
(S/. x kg)"
;;;TOTAL;;;COSECHADA;CRECIMIENTO;;;
TOTAL PROVINCIAL:;;113,047;7,502;;;7,502;-;;;
CULTIVOS TRANSITORIOS;;;;;;;;;;
01;AJO;57;6;;;6;;-;9,500;3.90
02;HABA GRANO VERDE;253;36;;;36;;-;7,028;1.59
03;MAIZ AMILACEO;496;166;;;166;;-;2,988;5.56
04;MAIZ CHOCLO;90;9;;;9;;-;10,000;2.76
05;PAPA;4,273;199;;;199;;-;21,472;1.54
06;ZAPALLO;1,410;47;;;47;;-;30,000;2.70
EMIPERMANENTE;;;;;;;;;;
07;OREGANO;3,618;807;;;807;;-;4,483;10.99
O PERMANENTE;;;;;;;;;;
08;ALFALFA;102,850;6,232;;;6,232;;-;16,504;0.50
