CEDULA DE PRINCIPALES CULTIVOS, SEGÈN PROVINCIA 2022;;;;;;;;;;;;;;;;;;
REGION :;;;;;;;;;;Tacna;;;;;;;;
PROVINCIA :;;;;;;;;;;CANDARAVE;;;;;;;;
;;;;;;;;;;;;;;;;;;
CULTIVO;;;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";;;"PRECIO EN CHACRA
(S/ x Kg)";;;;
;;;;;TOTAL;;COSECHADA;;CRECIMIENTO;;;;;;;;;
TOTAL PROVINCIAL:                                                         113,064                            7,658                            7,658                                -;;;;113,064;7,658;;7,658;;-;;;;;;;;;
CULTIVOS TRANSITORIOS;;;;;;;;;;;;;;;;;;
01;AJO;;;70;7;;7;;-;;10,000;;;0.45;;;;
02;AVENA FORRAJERA;;;12;2;;2;;-;;6,000;;;5.00;;;;
03;HABA GRANO VERDE;;;169;25;;25;;-;;6,760;;;1.86;;;;
04;MAIZ AMILACEO;;;592;217;;217;;-;;2,728;;;5.85;;;;
05;MAIZ CHOCLO;;;74;14;;14;;-;;5,286;;;2.68;;;;
06;PAPA;;;5,616;264;;264;;-;;21,273;;;1.98;;;;
07;ZAPALLO;;;2,576;90;;90;;-;;28,622;;;2.50;;;;
CULTIVO SEMIPERMANENTE;;;;;;;;;;;;;;;;;;
08;  OREGANO;;;3,657;807;;807;;-;;4,532;;;11.08;;;;
CULTIVO PERMANENTE;;;;;;;;;;;;;;;;;;
09;ALFALFA;;;100,298;6,232;;6,232;;;;16,094;;;0.55;;;;
"FUENTE: A. Agrarias
ELABORACION:DEA-Tacna/Est. Agr°cola";;;;;;;;;;(*)INFORMACION PRELIMINAR;;;;;;;;
