CEDULA DE PRINCIPALES CULTIVOS, PROVINCIA   2021;;;;;;;;;;
REGION :;;;;Tacna;;;;;;
PROVINCIA :;;;;JORGE BASADRE;;;;;;
;;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA
(S/. x kg)"
;;;TOTAL;;;COSECHADA;CRECIMIENTO;;;
TOTAL PROVINCIAL:;;123,439;3,840;;;3,741;;99;;
CULTIVOS TRANSITORIOS;;;;;;;;;;
01;AJI;4,629;381;;;381;;-;12,150;2.55
02;AJI PANCA;1,312;106;;;106;;-;12,377;1.80
03;AJO;110;11;;;11;;-;10,000;4.39
04;CEBOLLA;2,889;92;;;92;;-;31,402;0.47
05;HABA GRANO VERDE;11;2;;;2;;-;5,500;1.80
06;MAIZ AMILACEO;27;9;;;9;;-;3,000;4.00
07;MAIZ CHALA;46,185;1,033;;;1,033;;-;44,710;0.36
08;PAPA;252;14;;;14;;-;18,000;1.67
09;SANDIA;198;9;;;9;;-;22,000;1.97
10;ZAPALLO;5,808;135;;;135;;-;43,022;1.81
EMIPERMANENTE;;;;;;;;;;
11;OREGANO;1,058;318;;;318;;-;3,327;6.65
S PERMANENTES;;;;;;;;;;
12;ALFALFA;59,987;1,555;;;1,555;;-;38,577;0.36
13;CIROLERO;5;1;;;1;;-;5,000;6.00
14;DAMASCO;9;2;;;2;;-;4,500;13.00
15;GRANADO;135;29;;;9;;20;15,000;2.00
16;HIGUERA;17;4;;;4;;-;4,250;1.97
17;MANZANO;53;8;;;8;;-;6,625;2.00
18;MELOCOTONERO;80;10;;;10;;-;8,000;3.00
19;MEMBRILLERO;20;4;;;4;;-;5,000;2.00
20;PALTO;80;89;;;11;;78;7,273;4.00
21;PERAL;42;7;;;6;;1;7,000;6.00
22;VID;532;21;;;21;;-;25,333;3.00
