CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;
REGION :;;;;TACNA;;;
PROVINCIA :;;;;TACNA;;;
DISTRITO :;;;;C.G. ALBARRACIN L.;;;
;;;;;;;
;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA (S/.
x kg)"
;CULTIVO;;TOTAL;COSECHADA;CRECIMIENTO;;
;;;;;;;
TOTAL DISTRITAL:;;1,014;318;81;237;;
CULTIVOSÿTRANSITORIOS;;;;;;;
01;AJI;10;1;1;-;10,000;3.00
02;SANDIA;139;4;4;-;34,750;1.70
03;TOMATE;75;2;2;-;37,500;2.10
04;ZAPALLO;82;2;2;-;41,000;3.20
CULTIVO SEMIPERMANENTE;;;;;;;
05;OREGANO;73;12;12;-;6,083;4.89
CULTIVOSÿPERMANENTES;;;;;;;
06;ALFALFA;55;2;2;-;27,500;0.72
07;MANZANO;25;3;3;-;8,333;2.24
08;MELOCOTON;30;3;3;-;10,000;12.00
09;NARANJO;352;68;32;36;11,000;0.90
10;OLIVO;30;6;6;-;5,000;2.00
11;PALTO;25;9;4;5;6,250;5.00
12;PERAL;18;2;2;-;9,000;2.50
13;TUNA (Cochinilla);-;192;-;192;-;-
14;VID;100;12;8;4;12,500;5.25
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;
