CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2021;;;;;;;;;
REGION :;;;;Tacna;;;;;
PROVINCIA :;;;;Tacna;;;;;
DISTRITO :;;;;LA YARADA LOS PALOS;;;;;
;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA
(S/. x kg)"
;;;TOTAL;;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;197,255;26,880;;25,076;1,804;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;
01;AJI;1,607;129;;129;;-;12,457;3.12
02;APIO;482;24;;24;;-;20,083;1.01
03;BETARRAGA;983;63;;63;;-;15,603;1.74
04;CAMOTE;4,893;308;;308;;-;15,886;1.56
05;CEBOLLA ROJA;3,922;103;;103;;-;38,078;0.82
06;FRIJOL VAINITA;1,098;155;;155;;-;7,084;4.01
07;MAIZ CHALA;15,896;269;;269;;-;59,093;0.36
08;MAIZ CHOCLO;466;35;;35;;-;13,314;3.38
09;MELON;2,693;105;;105;;-;25,648;0.99
10;PAPA;272;15;;15;;-;18,133;1.50
11;PAPRIKA;111;19;;19;;-;5,842;4.92
12;PEPINILLO;3,370;186;;186;;-;18,118;1.18
13;PIMIENTO;2,442;150;;150;;-;16,280;3.01
14;QUINUA;434;199;;199;;-;2,181;4.12
15;SANDIA;20,051;577;;577;;-;34,750;0.85
16;TOMATE;7,168;190;;190;;-;37,726;1.90
17;ZAPALLO;6,059;149;;149;;-;40,664;2.40
EMIPERMANENTE;;;;;;;;;
18;OREGANO;2,874;516;;516;;-;5,570;7.66
19;ROCOTO;368;6;;6;;-;61,333;2.75
SÿPERMANENTES;;;;;;;;;
20;ALFALFA;741;21;;21;;-;35,286;0.42
21;GRANADO;74;8;;8;;-;9,250;1.50
22;HIGUERA;45;10;;10;;-;4,500;3.62
23;MANZANO;1,080;76;;76;;-;14,211;1.50
24;MEMBRILLO;7;1;;1;;-;7,000;2.00
25;NARANJO;15,709;1,430;;755;;675;20,807;1.56
26;OLIVO;103,902;21,402;;20,966;;436;4,956;2.85
27;PALTO;55;28;;5;;23;11,000;5.19
28;PERAL;219;11;;11;;-;19,909;2.38
29;PLATANO;25;4;;4;;-;6,250;1.75
30;TUNA;-;670;;-;;670;-;-
31;VID;209;21;;21;;-;9,952;3.24
