CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;;
REGION :;;;;TACNA;;;;
PROVINCIA :;;;;TACNA;;;;
DISTRITO :;;;;PACHIA;;;;
;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA (S/.
x kg)";
;CULTIVO;;;;;;;
;;;TOTAL;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;8,823;534;521;13;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;
01;AJI;10;1;1;;10,000;3.00;
02;APIO;590;27;27;-;21,852;1.44;
03;ARVEJA GRANO VERDE;13;2;2;-;6,500;5.00;
04;BETARRAGA;244;14;14;-;17,429;1.90;
05;BROCOLI;491;27;27;-;18,185;2.12;
06;CEBOLLA;63;2;2;-;31,500;2.08;
07;COL O REPOLLO;449;22;22;-;20,409;1.98;
08;COLIFLOR;357;20;20;-;17,850;2.09;
09;ESPINACA;192;12;12;-;16,000;2.08;
10;HABA GRANO VERDE;90;13;13;-;6,923;2.31;
11;LECHUGA;653;32;32;-;20,406;2.07;
12;MAIZ AMILACEO;50;15;15;-;3,333;5.00;
13;MAIZ CHOCLO;128;14;14;-;9,143;3.80;
14;NABO;135;16;16;-;8,438;2.03;
15;PAPA;563;27;27;-;20,852;2.19;
16;PORO;120;8;8;-;15,000;2.31;
17;RABANO;112;9;9;-;12,444;1.53;
18;TOMATE;588;19;19;-;30,947;2.17;
19;ZAPALLO;809;23;23;-;35,174;2.50;
CULTIVOÿSEMIPERMANENTE;;;;;;;;
20;OREGANO;170;67;67;-;2,537;5.34;
21;ROCOTO;79;4;4;-;19,750;4.59;
CULTIVOSÿPERMANENTES;;;;;;;;
22;ALFALFA;2,680;117;117;-;22,906;0.69;
23;HIGUERA;5;1;1;-;5,000;2.00;
24;MANZANO;26;3;3;-;8,667;2.20;
25;PALTO;12;15;2;13;6,000;4.00;
26;PERAL;4;1;1;-;4,000;3.50;
27;VID;190;23;23;-;8,261;4.86;
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;;
ELAB;ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;
