CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;;;;;;;
REGION :;;;;;;;TACNA;;;;;;
PROVINCIA :;;;;;;;TACNA;;;;;;
DISTRITO :;;;;;;;PALCA;;;;;;
CULTIVO;;;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";;"PRECIO EN
CHACRA (S/.
x kg)"
;;;;;;;;;;;;;
;;;;;TOTAL;;COSECHADA;CRECIMIENTO;;;;;
TOTAL DISTRITAL:;;;;2,072;122;;122;-;;;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;;;;;
01;HABA GRANO VERDE;;;32;5;;5;-;;;6,400;;2.50
02;MAIZ AMILACEO;;;36;12;;12;-;;;3,000;;5.00
03;PAPA;;;219;12;;12;-;;;18,250;;2.47
04;ZAPALLO;;;75;3;;3;-;;;25,000;;2.13
CULTIVOÿSEMIPERMANENTE;;;;;;;;;;;;;
05;OREGANO;;;79;30;;30;-;;;2,633;;5.08
CULTIVOSÿPERMANENTES;;;;;;;;;;;;;
06;ALFALFA;;;1,631;60;;60;-;;;27,183;;0.68
FUENTE: A. Agrarias;;;;;;;(*)INFORMACION PRELIMINAR;;;;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;;;;;;;
