CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;;;;;;;;;;;;;;
REGION :;;;;;TACNA;;;;;;;;;;;;;;;
PROVINCIA :;;;;;TACNA;;;;;;;;;;;;;;;
DISTRITO :;;;;;POCOLLAY;;;;;;;;;;;;;;;
;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA (S/.
x kg)";;;;;;;;;;;;
;CULTIVO;;TOTAL;;COSECHADA;CRECIMIENTO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TOTAL DISTRITAL:;;6,129;333;;332;1;;;;;;;;;;;;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;;;;;;;;;;;;
01;ACELGA;40;2;;2;-;20,000;2.10;;;;;;;;;;;;
02;AJI;11;1;;1;-;11,000;3.00;;;;;;;;;;;;
03;APIO;590;27;;27;-;21,852;1.56;;;;;;;;;;;;
04;BETARRAGA;321;18;;18;-;17,833;1.88;;;;;;;;;;;;
05;BROCOLI;433;24;;24;-;18,042;2.05;;;;;;;;;;;;
06;COL O REPOLLO;435;21;;21;-;20,714;2.01;;;;;;;;;;;;
07;COLIFLOR;363;21;;21;-;17,286;2.09;;;;;;;;;;;;
08;ESPINACA;210;12;;12;-;17,500;2.11;;;;;;;;;;;;
09;LECHUGA;691;33;;33;-;20,939;2.10;;;;;;;;;;;;
10;MAIZ CHOCLO;23;2;;2;-;11,500;3.24;;;;;;;;;;;;
11;NABO;105;12;;12;-;8,750;2.05;;;;;;;;;;;;
12;PAPA;276;15;;15;-;18,400;2.23;;;;;;;;;;;;
13;PORO;253;14;;14;-;18,071;2.50;;;;;;;;;;;;
14;RABANO;128;9;;9;-;14,222;1.84;;;;;;;;;;;;
15;TOMATE;862;24;;24;-;35,917;2.12;;;;;;;;;;;;
16;ZAPALLO;77;2;;2;-;38,500;2.81;;;;;;;;;;;;
CULTIVOÿSEMIPERMANENTE;;;;;;;;;;;;;;;;;;;;
17;ROCOTO;155;9;;9;-;17,222;4.66;;;;;;;;;;;;
CULTIVOSÿPERMANENTES;;;;;;;;;;;;;;;;;;;;
18;ALFALFA;464;6;;6;-;77,333;0.70;;;;;;;;;;;;
19;CIROLERO;27;4;;4;-;6,750;6.20;;;;;;;;;;;;
20;DAMASCO;24;4;;4;-;6,000;9.00;;;;;;;;;;;;
21;HIGUERA;5;1;;1;-;5,000;2.00;;;;;;;;;;;;
22;MANZANO;48;6;;6;-;8,000;2.20;;;;;;;;;;;;
23;MELOCOTONERO;50;5;;5;-;10,000;9.20;;;;;;;;;;;;
24;PALTO;26;5;;4;1;6,500;5.00;;;;;;;;;;;;
25;PERAL;42;5;;5;-;8,400;3.21;;;;;;;;;;;;
26;VID;470;51;;51;-;9,216;4.93;;;;;;;;;;;;
FUENTE: A. Agrarias;;;;;(*)INFORMACION PRELIMINAR;;;;;;;;;;;;;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;;;;;;;;;;;;;;
