CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2021;;;;;;;;;
REGION :;;;;Tacna;;;;;
PROVINCIA :;;;;Tacna;;;;;
DISTRITO :;;;;POCOLLAY;;;;;
;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA
(S/. x kg)"
;;;TOTAL;;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;6,045;341;;340;;1;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;
01;ACELGA;64;4;;4;;-;16,000;1.56
02;AJI;23;2;;2;;-;11,500;3.26
03;APIO;615;28;;28;;-;21,964;1.00
04;ARVEJA GRANO VERDE;5;1;;1;;-;5,000;4.00
05;BETARRAGA;228;13;;13;;-;17,538;1.75
06;BROCOLI;525;29;;29;;-;18,103;1.77
07;CEBOLLA;35;1;;1;;-;35,000;0.90
08;COL O REPOLLO;399;19;;19;;-;21,000;1.50
09;COLIFLOR;363;21;;21;;-;17,286;1.62
10;ESPINACA;217;14;;14;;-;15,500;1.61
11;HABA GRANO VERDE;30;5;;5;;-;6,000;2.22
12;LECHUGA;737;33;;33;;-;22,333;1.68
13;MAIZ CHOCLO;25;2;;2;;-;12,500;3.50
14;NABO;160;11;;11;;-;14,545;1.52
15;PAPA;553;26;;26;;-;21,269;1.58
16;PORO;213;13;;13;;-;16,385;1.58
17;RABANO;67;5;;5;;-;13,400;1.48
18;TOMATE;492;13;;13;;-;37,846;1.42
19;ZAPALLO;70;2;;2;;-;35,000;2.35
ÿEMIPERMANENTE;;;;;;;;;
20;ROCOTO;138;9;;9;;-;15,333;3.02
ÿSÿPERMANENTES;;;;;;;;;
21;ALFALFA;427;6;;6;;-;71,167;0.42
22;CIROLERO;24;4;;4;;-;6,000;6.00
23;DAMASCO;18;4;;4;;-;4,500;8.00
24;HIGUERA;4;1;;1;;-;4,000;3.50
25;MANZANO;41;6;;6;;-;6,833;1.88
26;MELOCOTONERO;49;8;;8;;-;6,125;5.00
27;PALTO;25;5;;4;;1;6,250;5.50
28;PERAL;56;5;;5;;-;11,200;2.27
29;VID;442;51;;51;;-;8,667;3.30
