CEDULA DE PRINCIPALES CULTIVOS, SEGÚN  DISTRITO  2021;;;;;;;;;;
REGION :;;;;Tacna;;;;;;
PROVINCIA :;;;;Tacna;;;;;;
DISTRITO :;;;;TACNA;;;;;;
;;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA
(S/. x kg)"
;;;TOTAL;;;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;10,148;1,291;;;830;461;;;
CULTIVOS TRANSITORIOS;;2,984;116;;;116;;-;;
01;AJI;12;1;;;1;;-;12,000;3.50
02;APIO;76;4;;;4;;-;19,000;0.98
03;ARVEJA GRANO VERDE;39;7;;;7;;-;5,571;4.00
04;BETARRAGA;99;6;;;6;;-;16,500;1.60
05;CAMOTE;63;4;;;4;;;15,750;1.50
06;CEBOLLA ROJA;76;2;;;2;;-;38,000;0.70
07;COL O REPOLLO;36;2;;;2;;-;18,000;1.40
08;COLIFLOR;16;1;;;1;;-;16,000;1.40
09;FRIJOL VAINITA;49;7;;;7;;-;7,000;3.86
10;HABA GRANO VERDE;18;3;;;3;;-;6,000;2.50
11;LECHUGA;56;3;;;3;;-;18,667;1.33
12;MAIZ CHALA;381;11;;;11;;-;34,636;0.35
13;MAIZ CHOCLO;210;15;;;15;;-;14,000;3.34
14;NABO;29;2;;;2;;-;14,500;1.50
15;PAPA;72;4;;;4;;-;18,000;1.50
16;PEPINILLO;73;4;;;4;;-;18,250;1.24
17;PIMIENTO;65;4;;;4;;-;16,250;3.24
18;PORO;33;2;;;2;;-;16,500;1.35
19;SANDIA;186;5;;;5;;-;37,200;0.86
20;TOMATE;500;9;;;9;;-;55,556;2.37
21;ZAPALLO;895;20;;;20;;-;44,750;2.30
 EMIPERMANENTE;;20;1;;;1;;-;;
22;ROCOTO;20;1;;;1;;-;20,000;2.98
 S PERMANENTES;;7,144;1,174;;;713;;461;;
23;ALFALFA;1,121;13;;;13;;-;86,231;0.42
24;CIROLERO;13;2;;;2;;-;6,500;6.00
