CEDULA DE PRINCIPALES CULTIVOS, PROVINCIA  2021;;;;;;;;;
REGION :;;;;Tacna;;;;;
PROVINCIA :;;;;TARATA;;;;;
;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA
(S/. x kg)"
;;;TOTAL;;COSECHADA;CRECIMIENTO;;;
TOTAL PROVINCIAL:;;52,798;3,109;;3,084;;25;;
CULTIVOS TRANSITORIOS;;;;;;;;;
01;AJO;18;2;;2;;-;9,000;7.00
02;ARVEJA GRANO VERDE;114;16;;16;;-;7,125;4.83
03;HABA GRANO VERDE;269;32;;32;;-;8,406;1.57
04;MAIZ AMILACEO;1,345;439;;439;;-;3,064;5.78
05;MAIZ CHOCLO;797;53;;53;;-;15,038;3.09
06;PAPA;2,787;124;;124;;-;22,476;1.32
07;ZAPALLO;250;11;;11;;-;22,727;2.22
EMIPERMANENTE;;;;;;;;;
08;OREGANO;1,991;416;;416;;-;4,786;12.58
S PERMANENTES;;;;;;;;;
09;ALFALFA;42,843;1,757;;1,757;;-;24,384;0.24
10;CIROLERO;122;24;;20;;4;6,100;5.79
11;DAMASCO;28;6;;4;;2;7,000;13.00
12;HIGUERA;30;6;;6;;-;5,000;2.00
13;MANZANO;451;52;;49;;3;9,204;1.63
14;MELOCOTONERO;31;7;;6;;1;5,167;3.00
15;MEMBRILLERO;49;5;;5;;-;9,800;1.76
16;PALTO;36;10;;4;;6;9,000;6.00
17;PERAL;226;41;;40;;1;5,650;3.52
18;TUNA;1,411;108;;100;;8;14,110;2.13
