,Cherry,Mango,Banana,Guava,Litchi,Wastage
0,30153,45568,42342,23946,15399,19466
1,13003,29345,34255,19097,34973,7116
2,6619,12263,2710,6462,7689,25064
3,32956,32519,1548,45711,35422,19784
4,42122,16142,37817,42599,10118,44063
5,5186,42290,40288,45259,6615,30668
6,43749,9023,3571,6873,49656,21347
7,6147,23640,8488,46142,15885,12711
8,37410,27633,41379,16073,9801,39882
9,49024,32142,47346,48032,25322,37262
10,38435,21442,43240,9569,38608,49130
11,45113,47860,22492,19114,46702,17787
12,33929,35186,38289,14641,46657,33857
13,45422,46999,34110,38568,44932,12883
14,48799,20610,25283,28995,32937,12383
15,12529,26721,47498,15637,12948,29316
16,31226,23029,4308,45588,35258,17568
17,28396,45600,4274,17871,5005,49755
18,42586,37883,42578,25985,45311,5731
19,17044,18761,45910,5543,27759,24742
20,28945,10045,12478,22772,6347,27475
21,6030,40411,41308,12681,24475,28731
22,39789,22776,4867,8734,43173,19760
23,30712,37675,27417,34863,30148,17236
24,34791,19433,49825,37922,14573,23274
25,18920,8639,6136,33188,11316,13323
26,44249,14890,2869,17922,21219,26189
27,24094,11944,15542,35177,31385,26213
28,41783,33805,27874,6922,18783,46926
29,16519,43803,19459,24052,16225,43572
30,24608,6619,27315,5409,24375,25101
31,31782,31811,38663,5178,14320,5672
32,31647,43904,34720,17223,44833,47573
33,16740,20463,23866,39213,18419,34945
34,30046,38246,31273,5752,39116,47631
35,6902,7627,4288,11421,29180,8219
36,10816,44301,41604,23111,46605,42109
37,26746,16182,46436,48333,16074,9587
38,33059,40139,47616,33848,17907,7376
39,9586,42788,13155,36720,8168,31759
40,45845,31275,36295,37124,36422,23937
41,38261,31827,37515,33665,16618,31426
42,41702,27912,32397,37448,40539,12069
43,41825,36503,6245,48531,31381,16856
44,6340,47043,17291,33365,14570,27719
45,8540,25847,36609,27810,29406,36053
46,8657,12033,35474,26779,49058,32540
47,18743,27144,3002,33380,10127,45600
48,25186,16247,34668,13094,21658,47644
49,26519,40748,8088,49915,46481,30277
50,27271,14567,23366,12486,5294,18758
51,45027,17658,31180,26871,32298,23341
52,30987,23711,42684,47191,26232,13177
53,16192,30198,16611,30257,19503,10928
54,48240,22856,12500,9313,5725,31878
55,14474,11867,37982,47445,27780,22560
56,20988,11190,38141,27711,17788,35433
57,27607,15973,28945,37274,48118,12590
58,24321,26993,32657,25963,39671,15004
59,41791,25536,19626,16482,6311,43258
60,21863,22728,16389,20016,25178,34442
61,33922,26162,10134,48268,36260,42396
62,45953,31030,49484,14480,40182,14506
63,6555,39506,14420,7357,48123,17631
64,15152,44724,5511,16641,46090,15857
65,40382,14083,9549,43914,26014,13803
66,37569,29175,42149,47377,36984,20042
67,14630,21649,10956,23364,12810,39268
68,35742,38067,23108,35170,7358,9658
69,18669,20802,36198,31143,8693,16971
70,16460,18674,33254,20402,22751,38522
71,26005,42155,7449,25364,49074,38249
72,37081,9481,7843,10640,36148,36213
73,25302,30632,8934,36687,44453,19263
74,37087,30830,27491,17449,6175,11414
75,20693,18512,39512,5988,46354,44647
76,15522,10007,17719,7076,22366,27192
77,16144,47184,28330,28703,41408,13396
78,5857,27751,36159,8288,42607,48425
79,40220,28955,23104,47296,37283,47784
80,23079,22556,9894,16192,7271,6442
81,37024,28402,28114,30269,49020,11272
82,17747,9278,17826,39722,21036,14630
83,15069,46402,45487,26731,33276,28412
84,37301,11593,44666,24173,39734,20554
85,22480,7899,3599,33053,34255,11695
86,18561,18986,29901,44420,22847,9064
87,5407,23652,31539,20134,13628,46668
88,7400,26490,42245,10213,22637,6339
89,11104,30150,7411,49708,24906,18613
90,14546,48240,48024,47160,49531,11871
91,18399,37272,27735,27370,6354,41753
92,22232,41508,30018,37927,6763,32362
93,28720,16594,4440,45002,42828,19707
94,24119,39183,46379,13407,47459,8140
95,29613,37349,23714,47905,23595,17253
96,38114,7149,33658,14938,37368,33254
97,31626,39682,41067,35716,36233,42209
98,34786,12109,27098,7151,42894,20041
99,25304,19116,14335,34489,37495,8308
100,16893,5255,21627,26800,29275,20025
101,42259,10658,1354,46092,47294,18340
102,5407,28318,28003,23015,38600,45305
103,23286,33007,41926,32479,16605,40308
104,20011,45201,48152,30302,21599,29493
105,7815,27760,4735,34427,39274,42572
106,14987,22287,16841,9834,19678,35897
107,10889,15998,21357,32633,18276,13974
108,30871,34583,6961,6132,17382,42894
109,29200,48425,20219,22801,44791,31097
110,5121,49853,17430,13402,33071,42595
111,21464,45763,7725,22283,18626,23860
112,41056,31010,47417,19189,35553,27507
113,5922,15584,600,17317,9176,13050
114,30803,21901,22981,39559,16360,41426
115,8931,49674,4336,18814,24041,24310
116,7195,8508,49415,27703,40425,13003
117,39299,29010,34957,44946,15180,47915
118,7662,12804,3332,41031,33551,14444
119,29621,49855,49945,22396,34388,38666
120,39444,48989,46275,38578,44098,19524
121,15943,21807,32930,33251,48877,33242
122,44215,44110,24858,24628,12882,20396
123,34144,36426,43702,30804,37594,44917
124,29497,49217,20170,31587,35900,21584
125,11360,23982,2837,23772,20931,33529
126,16406,46598,11307,49433,41510,6356
127,17952,7834,11554,24541,14515,39489
128,35513,44986,17762,16433,19028,46431
129,48827,43917,21562,46819,5260,42888
130,48499,30044,13049,44014,27914,6656
131,15177,26406,29742,10300,24022,43219
132,16094,20175,29279,28832,10577,13604
133,46584,8904,8503,33343,21443,10688
134,48149,49204,49609,33428,34993,5674
135,30940,41317,3478,34908,22441,29960
136,9992,41683,37851,23861,46539,32579
137,30974,14151,27855,8693,42317,20130
138,26422,6034,24374,38199,49132,40271
139,5505,19627,21046,18853,41620,31651
140,36117,44786,46615,35347,28851,42924
141,13038,12924,26785,5177,33867,38886
142,22953,47864,14114,21543,16960,15925
143,28300,13257,37770,43638,25207,7519
144,19632,39706,44196,17933,16209,11194
145,7176,22658,30406,34990,14411,19746
146,8682,16822,19152,28674,27865,49160
147,19936,13782,3861,39449,43662,40056
148,41204,26298,42149,30652,34830,23861
149,39085,22024,12766,42223,10496,21473
150,33764,11114,20538,43317,40305,29585
151,17829,31834,3741,26470,43739,49469
152,32943,22497,19324,10772,42801,38153
153,15940,24175,24738,18013,46356,34221
154,24677,23438,44011,19069,11075,31950
155,38885,23463,3932,33716,44982,27063
156,43969,39385,44831,45201,11472,24013
157,33088,24522,45026,32132,19421,11158
158,28327,48749,31311,27428,41814,29544
159,40396,29878,10523,36679,24022,47330
160,38980,29562,29143,45004,48776,35097
161,18847,22139,32253,8780,31201,36505
162,5815,20466,8819,10419,39669,34595
163,38914,48935,24091,23809,19424,38573
164,6586,35498,13658,46801,36234,46684
165,10989,42542,18413,9199,38209,36667
166,37583,5505,34434,32497,22449,44951
167,28270,21719,21909,10077,20300,10085
168,35663,28651,28975,9825,47480,38962
169,43784,9151,21020,47941,11420,44611
170,40833,18383,16227,41535,10686,36217
171,13567,20419,14442,21300,37339,38289
172,17058,12783,28912,22845,35395,37644
173,8693,44750,44774,11655,40976,46297
174,18377,35437,6357,41658,11231,44796
175,41637,40799,22427,18365,18695,23584
176,42199,23297,13848,36921,33476,47774
177,38740,47979,40790,31402,11514,41292
178,41997,12791,15388,8169,41248,45482
179,45867,22768,15508,6432,29073,36504
180,11384,36826,18939,25179,18835,26072
181,19442,37811,40624,37222,45988,15219
182,29499,17027,19116,45155,11230,35094
183,13601,49476,37694,21403,7510,5624
184,5015,41450,43132,41278,9865,27170
185,17935,46134,47866,49224,46477,6781
186,7238,31413,30320,30204,17656,12370
187,49810,38981,45820,25704,49980,20134
188,17774,39786,29151,38140,13842,16468
189,35473,34768,28564,9724,38739,19304
190,23188,10675,14207,37593,41638,38560
191,25132,9732,8694,46325,16666,41760
192,19772,44777,42537,30264,17669,8563
193,38540,47726,16782,11816,32261,33472
194,6654,5278,10234,12828,15858,46771
195,14397,37782,36738,25213,46235,29206
196,26079,24509,9521,49780,40232,29444
197,32979,42035,5543,22673,14512,33412
198,35563,17660,7792,29907,34584,14891
199,17647,46617,5416,39346,7539,46465
200,9651,22940,28426,45497,15278,23737
201,34741,15121,3648,29576,41052,21443
202,45794,21412,22278,44842,20481,38893
203,37357,18209,5133,28742,20882,21576
204,36934,39006,3246,29197,20651,45379
205,21200,13453,41790,49854,36705,37733
206,8426,35485,22051,35177,5269,16016
207,20368,42762,38771,17911,49517,27846
208,22851,11079,14636,48872,32198,28875
209,28355,5770,19471,30293,9422,48683
210,17830,33262,30767,8618,10892,16657
211,17849,27578,40323,31781,26318,43786
212,40678,18353,38918,5875,24765,46586
213,15074,8629,5857,8569,36412,35607
214,37619,32211,32971,17350,48630,18914
215,44266,29734,35208,37685,48952,12042
216,6596,11984,39986,31435,36363,8630
217,13451,5450,23756,18351,28025,21415
218,25763,20486,30197,13719,23084,37828
219,17536,19048,9322,31122,33100,33845
220,45622,12390,45435,16679,42034,36587
221,40860,32251,7712,44825,42001,23581
222,30304,25989,43339,23020,21167,31606
223,18823,11326,43155,25310,18143,6385
224,43404,8042,45294,6402,24161,11358
225,14944,27075,29723,35309,43762,13662
226,43050,48910,21008,32891,29930,26385
227,12958,14477,46394,27339,10417,16863
228,12690,38971,13516,35066,8271,26329
229,17195,34631,11607,37841,31923,43069
230,21145,12326,22098,18629,22377,36393
231,30494,5947,32839,12616,31627,49417
232,12889,20395,18758,43132,11031,24494
233,39170,26903,49032,44387,47261,28262
234,24394,12853,39792,20418,38591,16040
235,46805,22952,35926,21597,49831,31852
236,6257,37666,42544,48574,28699,43075
237,21440,48642,14042,17857,42287,14981
238,17519,14698,1739,28389,30123,26154
239,32651,9071,41884,26421,34820,17665
240,35366,31582,36080,25132,22386,14874
241,31507,47931,46587,39573,38463,11127
242,16677,19115,45236,26838,18873,27253
243,46723,15576,10954,20879,46840,47669
244,6457,37627,26864,27635,11872,14696
245,39388,21638,41915,27684,29271,20679
246,33926,41765,13676,22550,6042,25288
247,8417,42112,28351,44350,49460,19963
248,13180,22322,43015,40836,22474,44543
249,26673,20952,26041,43557,24117,42619
250,14153,19564,43021,38353,22924,13066
251,42395,40510,20830,12833,26262,32047
252,48190,32364,16190,38991,43743,31451
253,36146,5026,10792,37754,43041,5028
254,49507,14334,21527,19670,26867,12484
255,33184,20242,17130,5949,15337,15760
256,37514,46009,9859,47215,40098,48380
