Periodo,Cherry,Mango,Banana,Guava,Litchi,TotalVentas,Wastage,%desperdicio
0,9972967,10064314,9177004,10102566,9316678,48633529,9986198,20.533566461936168
1,9212883,9442550,8617399,9406630,9313079,45992541,9333524,20.293560210121896
2,9866214,10065522,9307822,9827407,9422664,48489629,9207430,18.988452149221434
3,9687639,9882122,9147250,10175413,10171199,49063623,9589389,19.544804100585885
4,10785287,10712378,10048235,10755199,10382211,52683310,10819326,20.53653424585509
5,9617503,9883401,9029529,9099916,9715390,47345739,10047652,21.22187172957634
6,9963629,10686722,9641238,10152017,10419606,50863212,9897764,19.45957325699368
7,9475301,9724767,9369884,9877148,9897693,48344793,10170609,21.037651355752004
8,9438828,9426863,9114042,9654749,9587224,47221706,9809025,20.77228001885404
9,9762589,10089537,9589454,9658177,9802071,48901828,9748423,19.934680151425013
