Fecha,Vendedor,Región,Producto,Unidades,PrecioUnitario,TotalVenta
2024-01-01,María,Este,Laptop,20,2175,43500
2024-01-02,Lucía,Norte,Impresora,15,715,10725
2024-01-03,Ana,Este,Smartphone,18,476,8568
2024-01-04,Ana,Centro,Monitor,44,185,8140
2024-01-05,Jorge,Norte,Tablet,40,1420,56800
2024-01-06,Jorge,Centro,Monitor,31,2405,74555
2024-01-07,Lucía,Sur,Monitor,16,2716,43456
2024-01-08,Lucía,Sur,Laptop,30,2445,73350
2024-01-09,Lucía,Oeste,Smartphone,16,997,15952
2024-01-10,Pedro,Oeste,Monitor,4,2535,10140
2024-01-11,Luis,Sur,Impresora,33,2009,66297
2024-01-12,María,Centro,Impresora,18,2632,47376
2024-01-13,Ana,Sur,Tablet,42,2091,87822
2024-01-14,María,Este,Monitor,22,569,12518
2024-01-15,Luis,Sur,Impresora,10,1263,12630
2024-01-16,Jorge,Oeste,Tablet,17,2030,34510
2024-01-17,Ana,Norte,Impresora,27,1071,28917
2024-01-18,Luis,Sur,Tablet,25,506,12650
2024-01-19,María,Este,Smartphone,42,1215,51030
2024-01-20,Jorge,Oeste,Smartphone,18,1828,32904
2024-01-21,María,Norte,Impresora,33,703,23199
2024-01-22,Lucía,Norte,Smartphone,22,2055,45210
2024-01-23,Jorge,Oeste,Impresora,43,2802,120486
2024-01-24,Ana,Este,Tablet,17,1327,22559
2024-01-25,Pedro,Este,Monitor,22,1611,35442
2024-01-26,Pedro,Sur,Smartphone,19,968,18392
2024-01-27,Lucía,Centro,Impresora,6,446,2676
2024-01-28,Luis,Este,Laptop,16,1303,20848
2024-01-29,María,Sur,Impresora,47,2792,131224
2024-01-30,Luis,Norte,Smartphone,34,1528,51952
2024-01-31,Luis,Sur,Laptop,32,2270,72640
2024-02-01,María,Sur,Laptop,32,324,10368
2024-02-02,María,Norte,Laptop,30,1455,43650
2024-02-03,Ana,Norte,Smartphone,31,2979,92349
2024-02-04,Luis,Sur,Impresora,9,338,3042
2024-02-05,Lucía,Sur,Tablet,3,2249,6747
2024-02-06,María,Sur,Tablet,1,919,919
2024-02-07,Lucía,Sur,Tablet,8,2518,20144
2024-02-08,Ana,Oeste,Monitor,27,1371,37017
2024-02-09,Ana,Norte,Smartphone,5,387,1935
2024-02-10,Luis,Sur,Impresora,4,1220,4880
2024-02-11,Pedro,Oeste,Monitor,7,1011,7077
2024-02-12,Ana,Este,Monitor,34,2285,77690
2024-02-13,Ana,Este,Smartphone,43,2121,91203
2024-02-14,Luis,Sur,Tablet,10,2320,23200
2024-02-15,Jorge,Centro,Monitor,40,339,13560
2024-02-16,Ana,Centro,Smartphone,6,2264,13584
2024-02-17,Luis,Norte,Smartphone,26,1137,29562
2024-02-18,Lucía,Centro,Impresora,33,2166,71478
2024-02-19,Lucía,Sur,Smartphone,25,1344,33600
2024-02-20,Jorge,Sur,Monitor,19,2523,47937
2024-02-21,Jorge,Centro,Impresora,11,1468,16148
2024-02-22,Lucía,Centro,Impresora,47,2988,140436
2024-02-23,María,Oeste,Monitor,1,2185,2185
2024-02-24,María,Norte,Smartphone,13,2088,27144
2024-02-25,Pedro,Oeste,Monitor,12,172,2064
2024-02-26,Lucía,Este,Laptop,33,1671,55143
2024-02-27,Ana,Norte,Smartphone,19,950,18050
2024-02-28,Ana,Norte,Tablet,5,1184,5920
2024-02-29,Ana,Este,Impresora,38,2320,88160
2024-03-01,Luis,Oeste,Tablet,27,168,4536
2024-03-02,Jorge,Oeste,Monitor,41,285,11685
2024-03-03,Pedro,Norte,Impresora,2,666,1332
2024-03-04,Pedro,Centro,Tablet,46,1960,90160
2024-03-05,Jorge,Oeste,Monitor,14,2067,28938
2024-03-06,Jorge,Centro,Laptop,46,2679,123234
2024-03-07,Ana,Centro,Smartphone,39,1120,43680
2024-03-08,Pedro,Centro,Laptop,49,1703,83447
2024-03-09,María,Centro,Monitor,11,1619,17809
